title,subtitle,link
MAGIC MOMENT,Watch Luis Diaz's dad break down in stands after son's double against Brazil,https://www.thesun.co.uk/sport/24766700/luis-diaz-crying-colombia-brazil-goals-kidnap/
MAL-TEASE,England team news leak ahead of Malta clash in 'big show of faith from Southgate',https://www.thesun.co.uk/sport/24768861/england-team-news-marcus-rashford-gareth-southgate/
BACK OF THE NET,Glenn Hoddle breaks silence on David Beckham Netflix documentary,https://www.thesun.co.uk/sport/24767157/glenn-hoddle-david-beckham-netflix-documentary/
,Mo Salah in rare outburst as he butts head with rival leaving fans stunned,https://www.thesun.co.uk/sport/24767340/mo-salah-outburst-butts-head-world-cup-rival/
POWERED UP,Get England to beat Malta TONIGHT at monster price of 30/1 with Paddy Power,https://www.thesun.co.uk/sport/24767954/england-to-beat-malta-paddy-power-free-bets-boost/
GET HER OWN SHAK,Shakira takes swipe at ex in awards speech as star stuns at Latin Grammys,https://www.thesun.co.uk/sport/24766833/shakira-swipe-pique-awards-latin-grammys/
RACISM ROW,Ex-England U21 star banned for 6 games & fined after racially abusing team-mate,https://www.thesun.co.uk/sport/24768570/england-jack-simpson-banned-fined-racially-abusing-cardiff/
WE DE BEST MUSIC,Fans shocked as 'K. De Bruyne' credited as writer for new Drake track,https://www.thesun.co.uk/sport/24767414/kevin-de-bruyne-drake-wick-man-witer-song/
GIFT OF THE GAB,Arsenal fans demand Martinelli position change after his first Brazil goal,https://www.thesun.co.uk/sport/24766881/arsenal-gabriel-martinelli-brazil-position-change/
HOT WHEELS,Win a stunning Ferrari or £110k cash alternative from just 71p with our discount,https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
REDDY FOR MORE,Sky Sports presenter Melissa Reddy poses in see-through low-cut top,https://www.thesun.co.uk/sport/24767245/melissa-reddy-sky-sports-sporty-spice/
ART ATTACK,Arteta charged by FA over furious outburst at officials after Newcastle clash,https://www.thesun.co.uk/sport/24763853/mikel-arteta-charged-by-fa-newcastle-arsenal-rant/
LIN BUSINESS,Lineker 'set for new £1.3m-a-year MOTD deal' just months after BBC suspension,https://www.thesun.co.uk/sport/24766560/gary-lineker-match-of-the-day-contract/
SWAN-SONG,Where Arsenal team from Alex Song's final game are now including restaurateur,https://www.thesun.co.uk/sport/24767568/alex-song-arsenal-team-mates-van-persie/
